iter	Passed	Remaining
0	2	229
1	4	228
2	6	211
3	15	368
4	21	409
5	32	513
6	37	492
7	43	505
8	48	489
9	51	463
10	56	460
11	61	449
12	65	436
13	128	787
14	141	801
15	175	919
16	188	922
17	195	890
18	204	872
19	210	841
20	217	816
21	221	785
22	226	757
23	230	729
24	233	699
25	238	679
26	244	659
27	250	644
28	253	621
29	257	599
30	259	578
31	263	560
32	265	539
33	268	520
34	276	512
35	280	498
36	282	480
37	284	464
38	287	449
39	297	446
40	305	439
41	306	422
42	314	416
43	319	407
44	330	403
45	334	392
46	341	384
47	345	374
48	355	369
49	391	391
50	397	382
51	432	399
52	437	388
53	458	390
54	464	380
55	468	367
56	473	357
57	482	349
58	497	345
59	502	335
60	556	355
61	559	343
62	562	330
63	565	318
64	572	308
65	574	295
66	577	284
67	581	273
68	586	263
69	588	252
70	590	241
71	595	231
72	598	221
73	601	211
74	604	201
75	606	191
76	611	182
77	613	173
78	615	163
79	617	154
80	625	146
81	629	138
82	632	129
83	634	120
84	637	112
85	642	104
86	644	96
87	646	88
88	647	80
89	650	72
90	652	64
91	655	56
92	656	49
93	658	42
94	660	34
95	665	27
96	667	20
97	672	13
98	674	6
99	678	0
